,Year,target,source,Rice_T_N_kg,Rice_T_P_kg,N_surplus_rice,P_surplus_rice,N_leach_image_rice,P_los_rice,Wheat_T_N_kg,Wheat_T_P_kg,N_leach_image_Wheat,P_loss_wheat,n_leach_r_w,P_leach_r_w,grey_water_r_w_liter,grey_water_r_w_BCM
77,2011,CH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2011,CN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2011,DD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2011,DL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2011,DN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2011,GA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2011,GJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2011,HP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2011,HR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2011,JH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2011,JK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2011,KL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2011,KA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2011,LD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2011,MH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2011,ML,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2011,MN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2011,MP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2011,MZ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2011,NL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2011,OD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2011,PN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2011,PD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2011,RJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2011,SK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2011,TE,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2011,TN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2011,TR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2011,UR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2011,UP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2011,WB,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2012,AP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2012,AN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2012,AR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2012,AS,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2012,BR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2012,CH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2012,CN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2012,DD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2012,DL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2012,DN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2012,GA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2012,GJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2012,HP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2012,HR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2012,JH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2012,JK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2012,KL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2012,KA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2012,LD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2012,MH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2012,ML,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2012,MN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2012,MP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2012,MZ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2012,NL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2012,OD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2012,PN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2012,PD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2012,RJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2012,SK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2012,TE,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2012,TN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2012,TR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2012,UR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,2012,UP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2012,WB,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
